Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",4,4.15,Knopf,Paperback,607,1997,1994,2023/10/15,2023/09/28,,,read,,,,1,0
32076670,Ball Lightning,Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""0765394073""","=""9780765394071""",0,3.77,Tor Books,Hardcover,384,2018,2004,,2023/09/28,currently-reading,currently-reading (#3),currently-reading,,,,1,0
9557,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448475""","=""9780099448471""",5,3.83,Vintage,Paperback,229,2002,1999,,2023/09/28,,,read,,,,1,0
56899,Aura,Carlos Fuentes,"Fuentes, Carlos",,"=""9580469717""","=""9789580469711""",0,3.81,Norma S A Editorial,Paperback,118,2008,1962,,2023/09/29,to-read,to-read (#30),to-read,,,,0,0
16102617,La casa de los espiritus,Isabel Allende,"Allende, Isabel",,"=""""","=""""",0,4.27,Plaza & Janés/Literaria,Hardcover,380,1982,1982,,2023/09/29,to-read,to-read (#29),to-read,,,,0,0
73716,Como agua para chocolate,Laura Esquivel,"Esquivel, Laura",,"=""0385721234""","=""9780385721233""",0,3.95,Vintage Espanol,Paperback,248,2001,1989,,2023/09/29,to-read,to-read (#28),to-read,,,,0,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",0,4.00,Harper,Paperback,228,2005,1983,,2023/09/29,to-read,to-read (#27),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,352,2016,2016,,2023/09/28,to-read,to-read (#26),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.17,Crown Currency,Hardcover,195,2014,2014,,2023/09/28,to-read,to-read (#25),to-read,,,,0,0
51323334,"Slaughterhouse-Five, or the Children's Crusade",Ryan North,"North, Ryan","Kurt Vonnegut Jr., Albert Monteys","=""1684156254""","=""9781684156252""",0,4.41,Archaia,Hardcover,192,2020,2020,,2023/09/28,to-read,to-read (#24),to-read,,,,0,0
45943454,"Targeted: The Cambridge Analytica Whistleblower s Inside Story of How Big Data, Trump, and Facebook Broke Democracy and How It Can Happen Again",Brittany Kaiser,"Kaiser, Brittany",,"=""1094028193""","=""9781094028194""",0,3.59,HarperCollins B and Blackstone Publishing,MP3 CD,400,2019,2019,,2023/09/28,to-read,to-read (#23),to-read,,,,0,0
34394458,Veinte poemas de amor y una canción desesperada,Pablo Neruda,"Neruda, Pablo",,"=""8432232475""","=""9788432232473""",5,4.22,Austral ,Hardcover,176,2017,1924,,2023/09/28,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1959,,2023/09/28,to-read,to-read (#22),to-read,,,,0,0
46171,Rayuela,Julio Cortázar,"Cortázar, Julio",Andrés Amorós,"=""8437604575""","=""9788437604572""",4,4.21,Cátedra,Paperback,752,2010,1963,,2023/09/28,,,read,,,,1,0
38787,Pedro Páramo,Juan Rulfo,"Rulfo, Juan","Susan Sontag, Margaret Sayers Peden","=""0802133908""","=""9780802133908""",0,4.05,Grove Press,Paperback,124,1994,1955,,2023/09/28,to-read,to-read (#21),to-read,,,,0,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",0,4.43,TOR,Hardcover,604,2016,2010,,2023/09/28,to-read,to-read (#20),to-read,,,,0,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Joel Martinsen, Eisso Post, Bruno Roubicek, Richard Heufkens","=""""","=""""",0,4.42,Tor Books,Hardcover,512,2015,2008,,2023/09/28,to-read,to-read (#19),to-read,,,,0,0
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.19,Nan A. Talese,Hardcover,422,2019,2019,,2023/09/28,to-read,to-read (#18),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,4.16,Simon & Schuster,Hardcover,630,2011,2011,,2022/11/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,4.13,Anchor Books,Paperback,314,1998,1985,,2023/09/28,,,read,,,,1,0
10374,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",0,4.13,Vintage,Paperback,400,2003,1985,,2023/09/28,to-read,to-read (#17),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Zigmantas Ardickas, Hilda Rosner","=""""","=""""",0,4.06,Bantam Books,Mass Market Paperback,152,1981,1922,,2023/09/20,to-read,to-read (#16),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.09,Dial Press,Paperback,275,1999,1969,,2023/09/20,to-read,to-read (#15),to-read,,,,0,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.80,Scribner,Hardcover,96,1996,1952,,2023/09/20,to-read,to-read (#14),to-read,,,,0,0
38743564,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom         Wright,"Wright, Tom",Bradley Hope,"=""031643650X""","=""9780316436502""",0,4.07,Hachette Books,Hardcover,400,2018,2018,,2023/09/20,to-read,to-read (#13),to-read,,,,0,0
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",0,4.15,W. W. Norton & Company,Paperback,310,2010,1989,,2023/09/20,to-read,to-read (#12),to-read,,,,0,0
113576,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,Bethany McLean,"McLean, Bethany",Peter Elkind,"=""1591840538""","=""9781591840534""",0,4.21,Portfolio Trade,Paperback,440,2004,2003,,2023/09/20,to-read,to-read (#11),to-read,,,,0,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",3,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2023/09/20,,,read,,,,1,0
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.11,Picador,Paperback,558,1998,1943,,2022/12/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.00,William Morrow,Kindle Edition,872,2015,2015,,2022/11/08,,,read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,,2022/12/30,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",0,3.90,Harper,Paperback,212,2016,,,2022/12/30,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2022/12/30,to-read,to-read (#10),to-read,,,,0,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,"=""1857993284""","=""9781857993288""",0,3.96,Phoenix,Paperback,403,1995,1991,,2022/12/30,to-read,to-read (#9),to-read,,,,0,0
